CPU: CPU with timer interrupt, speed 0 MHz (estimated)
Profiling through timer interrupt
samples  %        image name               app name                 symbol name
89816    74.8236  no-vmlinux               no-vmlinux               /no-vmlinux
4440      3.6989  libstdc++.so.6.0.14      libstdc++.so.6.0.14      /usr/lib/libstdc++.so.6.0.14
2922      2.4342  transceiver              transceiver              RadioInterface::radioifyVector(signalVector&, short*, float, bool)
1954      1.6278  libc-2.12.2.so           libc-2.12.2.so           memcpy
1740      1.4496  libc-2.12.2.so           libc-2.12.2.so           malloc
1565      1.3038  transceiver              transceiver              gLoggingLevel(char const*)
1356      1.1297  transceiver              transceiver              RadioInterface::unRadioifyVector(short*, signalVector&)
1272      1.0597  libc-2.12.2.so           libc-2.12.2.so           _int_malloc
1048      0.8731  libc-2.12.2.so           libc-2.12.2.so           free
1041      0.8672  libc-2.12.2.so           libc-2.12.2.so           memcmp
1026      0.8547  [vectors] (tgid:10946 range:0xffff0000-0xffff1000) transceiver              [vectors] (tgid:10946 range:0xffff0000-0xffff1000)
751       0.6256  libc-2.12.2.so           libc-2.12.2.so           _int_free
712       0.5932  transceiver              transceiver              energyDetect(signalVector&, unsigned int, float, float*)
704       0.5865  transceiver              transceiver              RadioInterface::driveReceiveRadio()
594       0.4948  libuhd.so.003.001        libuhd.so.003.001        convert_item32_1_to_sc16_1_nswap(uhd::ref_vector<void const*> const&, uhd::ref_vector<void*> const&, unsigned int)
546       0.4549  libuhd.so.003.001        libuhd.so.003.001        convert_sc16_1_to_item32_1_nswap(uhd::ref_vector<void const*> const&, uhd::ref_vector<void*> const&, unsigned int)
528       0.4399  libgcc_s.so.1            libgcc_s.so.1            /lib/libgcc_s.so.1
429       0.3574  libpthread-2.12.2.so     libpthread-2.12.2.so     pthread_mutex_lock
322       0.2683  libpthread-2.12.2.so     libpthread-2.12.2.so     __pthread_mutex_unlock_usercnt
308       0.2566  transceiver              transceiver              ConfigurationTable::defines(std::string const&) const
293       0.2441  transceiver              transceiver              ConfigurationTable::getStr(std::string const&) const
291       0.2424  libboost_thread.so.1.45.0 libboost_thread.so.1.45.0 /usr/lib/libboost_thread.so.1.45.0
262       0.2183  libc-2.12.2.so           libc-2.12.2.so           malloc_consolidate
254       0.2116  transceiver              transceiver              Transceiver::pullRadioVector(GSM::Time&, int&, int&)
236       0.1966  libuhd.so.003.001        libuhd.so.003.001        usrp_e100_impl::recv(uhd::ref_vector<void*> const&, unsigned int, uhd::rx_metadata_t&, uhd::io_type_t const&, uhd::device::recv_mode_t, double)
221       0.1841  transceiver              transceiver              convolve(signalVector const*, signalVector const*, signalVector*, ConvType, unsigned int, unsigned int)
192       0.1600  libc-2.12.2.so           libc-2.12.2.so           strlen
185       0.1541  libc-2.12.2.so           libc-2.12.2.so           Laligned
177       0.1475  transceiver              transceiver              gLookupLevel(char const*)
165       0.1375  libc-2.12.2.so           libc-2.12.2.so           strcmp
148       0.1233  libuhd.so.003.001        libuhd.so.003.001        usrp_e100_impl::send(uhd::ref_vector<void const*> const&, unsigned int, uhd::tx_metadata_t const&, uhd::io_type_t const&, uhd::device::send_mode_t, double)
148       0.1233  transceiver              transceiver              Transceiver::driveTransmitFIFO()
146       0.1216  transceiver              transceiver              uhd_device::readSamples(short*, int, bool*, unsigned long long, bool*, unsigned int*)
137       0.1141  libpthread-2.12.2.so     libpthread-2.12.2.so     pthread_cond_signal@@GLIBC_2.4
131       0.1091  libuhd.so.003.001        libuhd.so.003.001        uhd::transport::vrt::if_hdr_unpack_le(unsigned int const*, uhd::transport::vrt::if_packet_info_t&)
120       0.1000  libuhd.so.003.001        libuhd.so.003.001        usrp_e100_impl::io_impl::get_recv_buffs(std::vector<boost::intrusive_ptr<uhd::transport::managed_recv_buffer>, std::allocator<boost::intrusive_ptr<uhd::transport::managed_recv_buffer> > >&)
119       0.0991  libpthread-2.12.2.so     libpthread-2.12.2.so     pthread_cond_timedwait@@GLIBC_2.4
106       0.0883  transceiver              transceiver              GMSKRotate(signalVector&)
102       0.0850  libuhd.so.003.001        libuhd.so.003.001        bool boost::condition_variable_any::timed_wait<boost::unique_lock<boost::mutex>, boost::posix_time::time_duration, boost::function<bool ()()> >(boost::unique_lock<boost::mutex>&, boost::posix_time::time_duration const&, boost::function<bool ()()>)
98        0.0816  transceiver              transceiver              Transceiver::pushRadioVector(GSM::Time&)
90        0.0750  transceiver              transceiver              uhd_device::writeSamples(short*, int, bool*, unsigned long long, bool)
89        0.0741  libpthread-2.12.2.so     libpthread-2.12.2.so     pthread_once
89        0.0741  transceiver              transceiver              scaleVector(signalVector&, Complex<float>)
