CPU: CPU with timer interrupt, speed 0 MHz (estimated)
Profiling through timer interrupt
samples  %        image name               app name                 symbol name
140984   72.9995  no-vmlinux               no-vmlinux               /no-vmlinux
15724     8.1417  libc-2.12.2.so           libc-2.12.2.so           /lib/libc-2.12.2.so
7244      3.7508  libstdc++.so.6.0.14      libstdc++.so.6.0.14      /usr/lib/libstdc++.so.6.0.14
6203      3.2118  transceiver              transceiver              RadioInterface::radioifyVector(signalVector&, short*, float, bool)
2556      1.3235  transceiver              transceiver              RadioInterface::unRadioifyVector(short*, signalVector&)
2305      1.1935  libpthread-2.12.2.so     libpthread-2.12.2.so     /lib/libpthread-2.12.2.so
1665      0.8621  [vectors] (tgid:406 range:0xffff0000-0xffff1000) transceiver              [vectors] (tgid:406 range:0xffff0000-0xffff1000)
1402      0.7259  transceiver              transceiver              gLoggingLevel(char const*)
1349      0.6985  transceiver              transceiver              RadioInterface::driveReceiveRadio()
1030      0.5333  libuhd.so.003.001        libuhd.so.003.001        convert_item32_1_to_sc16_1_nswap(uhd::ref_vector<void const*> const&, uhd::ref_vector<void*> const&, unsigned int)
934       0.4836  transceiver              transceiver              energyDetect(signalVector&, unsigned int, float, float*)
843       0.4365  libuhd.so.003.001        libuhd.so.003.001        convert_sc16_1_to_item32_1_nswap(uhd::ref_vector<void const*> const&, uhd::ref_vector<void*> const&, unsigned int)
823       0.4261  transceiver              transceiver              std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::find(std::string const&) const
774       0.4008  libgcc_s.so.1            libgcc_s.so.1            /lib/libgcc_s.so.1
537       0.2781  transceiver              transceiver              convolve(signalVector const*, signalVector const*, signalVector*, ConvType, unsigned int, unsigned int)
485       0.2511  libboost_thread.so.1.45.0 libboost_thread.so.1.45.0 /usr/lib/libboost_thread.so.1.45.0
418       0.2164  libuhd.so.003.001        libuhd.so.003.001        usrp_e100_impl::recv(uhd::ref_vector<void*> const&, unsigned int, uhd::rx_metadata_t&, uhd::io_type_t const&, uhd::device::recv_mode_t, double)
417       0.2159  transceiver              transceiver              gLookupLevel(char const*)
331       0.1714  transceiver              transceiver              Transceiver::pullRadioVector(GSM::Time&, int&, int&)
323       0.1672  transceiver              transceiver              __sync_fetch_and_add_4
294       0.1522  libuhd.so.003.001        libuhd.so.003.001        usrp_e100_impl::send(uhd::ref_vector<void const*> const&, unsigned int, uhd::tx_metadata_t const&, uhd::io_type_t const&, uhd::device::send_mode_t, double)
275       0.1424  transceiver              transceiver              uhd_device::readSamples(short*, int, bool*, unsigned long long, bool*, unsigned int*)
241       0.1248  transceiver              transceiver              Transceiver::driveTransmitFIFO()
211       0.1093  transceiver              transceiver              std::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
