CPU: CPU with timer interrupt, speed 0 MHz (estimated)
Profiling through timer interrupt
samples  %        image name               app name                 symbol name
26634    17.4064  no-vmlinux               no-vmlinux               /no-vmlinux
23796    15.5516  libc-2.12.2.so           libc-2.12.2.so           /lib/libc-2.12.2.so
20698    13.5270  transceiver              transceiver              convolve(signalVector const*, signalVector const*, signalVector*, ConvType, unsigned int, unsigned int)
10562     6.9027  libstdc++.so.6.0.14      libstdc++.so.6.0.14      /usr/lib/libstdc++.so.6.0.14
6092      3.9814  OpenBTS                  OpenBTS                  ViterbiR2O4::getSoftCostMetrics(unsigned int, float const*, float const*)
5091      3.3272  transceiver              transceiver              RadioInterface::radioifyVector(signalVector&, short*, float, bool)
3933      2.5704  libpthread-2.12.2.so     libpthread-2.12.2.so     /lib/libpthread-2.12.2.so
3925      2.5651  transceiver              transceiver              sinLookup(float)
2865      1.8724  OpenBTS                  OpenBTS                  ViterbiR2O4::pruneCandidates()
2751      1.7979  transceiver              transceiver              scaleVector(signalVector&, Complex<float>)
2227      1.4554  transceiver              transceiver              sinc(float)
2181      1.4254  transceiver              transceiver              RadioInterface::unRadioifyVector(short*, signalVector&)
2046      1.3371  libm-2.12.2.so           libm-2.12.2.so           /lib/libm-2.12.2.so
1981      1.2947  [vectors] (tgid:406 range:0xffff0000-0xffff1000) transceiver              [vectors] (tgid:406 range:0xffff0000-0xffff1000)
1942      1.2692  OpenBTS                  OpenBTS                  ViterbiR2O4::minCost() const
1774      1.1594  transceiver              transceiver              gLoggingLevel(char const*)
1747      1.1417  transceiver              transceiver              interpolatePoint(signalVector const&, float)
1606      1.0496  transceiver              transceiver              GMSKReverseRotate(signalVector&)
1478      0.9659  transceiver              transceiver              vectorSlicer(signalVector*)
1337      0.8738  OpenBTS                  OpenBTS                  ViterbiR2O4::branchCandidates()
1314      0.8588  OpenBTS                  OpenBTS                  SoftVector::decode(ViterbiR2O4&, BitVector&) const
1224      0.7999  transceiver              transceiver              Transceiver::driveReceiveFIFO()
1130      0.7385  transceiver              transceiver              RadioInterface::driveReceiveRadio()
1080      0.7058  transceiver              transceiver              modulateBurst(BitVector const&, signalVector const&, int, int)
1067      0.6973  transceiver              transceiver              GMSKRotate(signalVector&)
1048      0.6849  libgcc_s.so.1            libgcc_s.so.1            /lib/libgcc_s.so.1
962       0.6287  transceiver              transceiver              std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::find(std::string const&) const
